orig_balance_before amount
1                 1074    549
2                 1902     25
3                 1252     25
4                 2088    785
5                 1766     35
6                 2112     39
7                 1247    277
8                 1459    122
9                 1683    536
10                 945     85
11                1745     85
12                2038     29
13                2216    122
14                2292     26
15                1776     22
16                 645     22
17                4290   3779
