id rec_channel     rec_auth
1   0.000000000 0.000000e+00
2   0.999943740 9.999437e-01
3   0.999859652 9.998597e-01
4   0.887580636 8.875806e-01
5   0.824693247 8.246932e-01
6   0.960456331 9.604563e-01
7   0.810705112 8.107051e-01
8   0.778326894 7.783269e-01
9   0.731418856 7.314189e-01
10  0.689998666 0.000000e+00
11  0.999948477 9.999485e-01
12  0.999966836 9.999668e-01
13  0.999973350 9.999734e-01
14  0.999974534 9.999745e-01
15  0.000000000 0.000000e+00
16  0.713869077 7.138691e-01
17  0.812246810 8.122468e-01
18  0.931362670 9.313627e-01
19  0.999822939 9.998229e-01
20  0.965221085 9.652211e-01
21  0.999968020 9.999680e-01
22  0.999975719 9.999757e-01
23  0.883202287 8.832023e-01
24  0.999915315 9.999153e-01
25  0.999809321 9.998093e-01
26  0.999917684 9.999177e-01
27  0.603554599 0.000000e+00
28  0.963470623 9.634706e-01
29  0.843241366 8.432414e-01
30  0.744042929 7.440429e-01
31  0.805993488 8.059935e-01
32  0.704525736 7.045257e-01
33  0.999943740 9.999437e-01
34  0.999978680 9.999787e-01
35  0.813336606 8.133366e-01
36  0.737388304 7.373883e-01
37  0.999986971 9.999870e-01
38  0.827293710 1.234078e-01
39  0.999844256 9.998443e-01
40  0.822044970 8.220450e-01
41  0.999991709 9.999917e-01
42  0.999941963 9.999420e-01
43  0.999957953 9.999580e-01
44  0.000000000 0.000000e+00
45  0.773383326 7.733833e-01
46  0.999957360 9.999574e-01
47  0.000000000 0.000000e+00
48  0.929988597 5.949028e-01
49  0.967328129 9.673281e-01
50  0.603987975 6.039880e-01
51  0.490763114 4.414925e-01
52  0.533688456 5.336885e-01
53  0.999901103 9.999011e-01
54  0.900956786 9.009568e-01
55  0.560497013 5.604970e-01
56  0.999962690 9.999627e-01
57  0.999968612 9.999686e-01
58  0.999952623 9.999526e-01
59  0.239081962 2.390820e-01
60  0.999950254 9.999503e-01
61  0.825049861 2.269212e-01
62  0.568900098 5.689001e-01
63  0.777872532 7.778725e-01
64  0.996823603 9.968236e-01
65  0.999953807 9.999538e-01
66  0.599775447 0.000000e+00
67  0.999928935 9.999289e-01
68  0.625333770 6.253338e-01
69  0.989943343 9.899433e-01
70  0.946195133 3.747053e-01
71  0.000000000 1.698885e-02
72  0.514122505 4.864602e-01
73  0.999921829 9.999218e-01
74  0.999892220 9.998922e-01
75  0.959230191 9.592302e-01
76  0.871298931 8.712989e-01
77  0.892402867 8.924029e-01
78  0.953905606 9.539056e-01
79  0.777565320 7.775653e-01
80  0.900720445 9.007204e-01
81  0.165779515 1.657795e-01
82  0.000000000 0.000000e+00
83  0.730412435 7.304124e-01
84  0.502127839 5.021278e-01
85  0.574690683 5.746907e-01
86  0.945572214 9.455722e-01
87  0.898801069 8.988011e-01
88  0.000000000 0.000000e+00
89  0.912128053 9.121281e-01
90  0.000000000 2.703427e-02
91  0.999935449 9.999354e-01
92  0.763394402 7.633944e-01
93  0.999918868 9.999189e-01
94  0.998245583 9.982456e-01
95  0.999867942 9.998679e-01
96  0.999953807 9.999538e-01
