id channel_cd authentication_cd communication_cd empty_communication_flag
1        CH07              AU02            COM01                        0
2        CH04              AU03            COM02                        0
3        CH07              AU04            COM01                        0
4        CH06              AU02            COM02                        0
5        CH07              AU03            COM02                        0
6        CH06              AU02            COM03                        1
7        CH04              AU03            COM01                        0
8        CH07              AU02            COM02                        0
9        CH01              AU01            COM02                        0
10       CH02              AU04            COM02                        0
11       CH06              AU02            COM01                        0
12       CH03              AU01            COM03                        1
13       CH04              AU05            COM02                        0
14       CH04              AU05            COM01                        0
15       CH04              AU05            COM01                        0
16       CH07              AU02            COM02                        0
17       CH07              AU04            COM01                        0
18       CH07              AU02            COM02                        0
19       CH01              AU01            COM02                        0
20       CH04              AU05            COM01                        0
21       CH02              AU04            COM02                        0
22       CH04              AU05            COM01                        0
23       CH04              AU05            COM03                        1
24       CH07              AU04            COM01                        0
25       CH04              AU03            COM02                        0
26       CH06              AU04            COM02                        0
27       CH04              AU05            COM02                        0
28       CH04              AU01            COM03                        1
29       CH04              AU05            COM01                        0
30       CH02              AU01            COM02                        0
31       CH04              AU03            COM01                        0
32       CH01              AU01            COM02                        0
33       CH01              AU01            COM02                        0
34       CH07              AU04            COM02                        0
35       CH04              AU03            COM01                        0
36       CH04              AU05            COM03                        1
37       CH06              AU02            COM02                        0
38       CH04              AU03            COM01                        0
39       CH05              AU03            COM03                        1
40       CH05              AU04            COM03                        1
