id benef_country channel_cd authentication_cd communication_cd
226         ISO03       CH01              AU02            COM02
141         ISO03       CH03              AU02            COM02
493         ISO03       CH04              AU05            COM02
240         ISO03       CH01              AU04            COM02
445         ISO04       CH07              AU04            COM01
88          ISO03       CH03              AU02            COM01
714         ISO03       CH01              AU04            COM01
475         ISO03       CH04              AU05            COM01
97          ISO03       CH03              AU02            COM02
132         ISO03       CH03              AU02            COM02
489         ISO03       CH04              AU03            COM01
68          ISO03       CH03              AU02            COM02
474         ISO03       CH04              AU05            COM02
463         ISO03       CH04              AU05            COM01
504         ISO03       CH04              AU05            COM01
328         ISO03       CH07              AU02            COM02
516         ISO03       CH04              AU05            COM02
72          ISO03       CH03              AU02            COM02
747         ISO03       CH03              AU02            COM03
173         ISO03       CH07              AU04            COM01
670         ISO03       CH07              AU04            COM02
512         ISO03       CH04              AU05            COM01
402         ISO03       CH01              AU04            COM01
644         ISO03       CH07              AU04            COM03
495         ISO03       CH04              AU05            COM02
734         ISO03       CH01              AU04            COM01
346         ISO03       CH01              AU04            COM02
388         ISO04       CH01              AU02            COM01
188         ISO03       CH07              AU04            COM01
742         ISO03       CH01              AU04            COM02
637         ISO03       CH07              AU04            COM03
267         ISO03       CH01              AU04            COM01
338         ISO03       CH04              AU04            COM01
58          ISO03       CH03              AU02            COM02
721         ISO03       CH01              AU04            COM02
498         ISO03       CH04              AU03            COM01
431         ISO03       CH04              AU05            COM01
537         ISO03       CH01              AU04            COM02
542         ISO03       CH04              AU01            COM03
519         ISO03       CH06              AU02            COM02
421         ISO03       CH04              AU02            COM01
766         ISO03       CH04              AU05            COM01
650         ISO03       CH07              AU04            COM01
172         ISO03       CH07              AU02            COM01
686         ISO03       CH01              AU02            COM01
479         ISO03       CH04              AU05            COM01
743         ISO03       CH01              AU04            COM02
619         ISO03       CH03              AU02            COM02
399         ISO03       CH01              AU04            COM03
616         ISO03       CH03              AU02            COM02
740         ISO03       CH01              AU04            COM01
508         ISO03       CH04              AU05            COM01
712         ISO03       CH01              AU04            COM01
144         ISO03       CH03              AU02            COM02
772         ISO03       CH01              AU02            COM02
93          ISO03       CH01              AU02            COM02
