id empty_communication_flag orig_balance_before amount freq_channel freq_auth
1                          0                1711    240            0         0
2                          0                1523     12            1         1
3                          0                1521     49            2         2
4                          0                2260     30            3         3
5                          0                1567     87            4         4
6                          0                1479     49            5         5
7                          0                1338    281            6         6
8                          0                 849     78            7         7
9                          0                 860     33            8         8
10                         0                1435     75            9         0
11                         0                1381     26           10         1
12                         0                1368     57           11         2
13                         0                1329     56           12         3
14                         1                1292    708           13         4
15                         0                2292     26            0         0
16                         0                2091     29           14         5
17                         0                1291     86           15         6
18                         0                1420    281           16         7
19                         0                1198     16           17         8
20                         0                1386    147           18         9
21                         0                1274     38           19        10
22                         0                1251     39           20        11
23                         0                1454     28           21        12
24                         0                1439     32           22        13
25                         0                1421    161           23        14
26                         0                1297     19           24        15
27                         0                2038     29            1         0
28                         1                1275     19           25        16
29                         0                1902     25            2         1
30                         0                1599     20           26        17
31                         0                1375   1050           27        18
32                         0                1776     22            3         2
33                         0                1766     35            4         3
34                         0                1745     85            5         4
35                         0                 669     20           28        19
36                         0                1683    536            6         5
37                         0                1252     25            7         6
38                         0                1985     42           29         9
39                         1                1958    143           30        10
40                         0                2216    122            8         7
41                         0                2125     26            9         8
42                         0                2112     39           10         9
43                         1                2088    785           11        10
44                         0                6228   5176            0         0
45                         0                1986     37           31        11
46                         0                1964     89           32        12
47                         0                2753    102            0         0
48                         0                1732    281           33        20
49                         1                3381   2421           34        21
50                         0                1247    277           12        11
51                         0                 786     32           35        13
52                         0                 945     85           13        12
53                         0                1074    549           14        13
54                         0                 645     22           15        14
55                         0                3130     32           36        14
56                         0                3112     35           37        15
57                         0                3091     35           38        16
58                         0                3070     66           39        17
59                         0                 837     20            1         1
60                         0                 828     31            2         2
61                         0                2359     90           40        22
62                         0                1459    122           16        15
63                         0                2070    281           41        23
64                         0                1847    112           42        24
65                         0                1763     32           43        25
66                         0                 791     25            3         0
67                         0                 779     20            4         1
68                         0                1023     42           44        26
69                         0                 997     25           45        27
70                         0                 921    103           46        18
71                         1                4290   3779            0         1
72                         0                2398     16           47        28
73                         0                2393     16           48        29
74                         0                2388     19           49        30
75                         0                2061     44           50        31
76                         0                1832     90           51        32
77                         0                1647     91           52        33
78                         0                1762     29           53        34
79                         0                1532    281           54        35
80                         0                 883     35           55        36
81                         0                 353     50            5         2
82                         0                 902     13            0         0
83                         0                 722     28           56        37
84                         0                  10     71            6         3
85                         0                2240     40           57        38
86                         0                2193     58           58        39
87                         0                1801     85           59        40
88                         0                 701     37            0         0
89                         0                1866     27           60        41
90                         0                1196     77            0         3
91                         0                1141    922            1         4
92                         0                1455     44           61        42
93                         0                1427    147           62        43
94                         0                1442    138           63        44
95                         0                1337     30           64        45
96                         0                1320     27           65        46
97                         1                 824     87           66        47
98                         0                 827     49           67        48
99                         0                2158     64           68        19
100                        0                1970    147           69        49
101                        0                 618     20            0         4
102                        0                 610     16            1         5
103                        0                 605     41            2         6
104                        0                1510     17            3         7
105                        0                2243     89           70        50
106                        0                1889     49           71        51
107                        0                1502     16            4         8
108                        0                1861     65           72        52
109                        0                1796     54           73         0
110                        0                1728     35           74         1
111                        1                 829     18            5         9
112                        0                2869    269           75        53
113                        1                2657    785           76        54
114                        0                2022     45           77        55
115                        1                 894     49            0         1
116                        0                1971    227           78        56
117                        0                1794    126           79        57
118                        0                1494     37            2         5
119                        0                1471     27            3         6
120                        0                1457     71            4         7
121                        0                1898     93           80        58
122                        1                7680   6987           81        20
123                        0                1967    181           82         2
124                        0                1827    513           83         3
125                        1                 853    165           84         4
126                        0                2746     30           85        59
127                        0                2178     49           86        60
128                        0                2146     44           87        61
129                        0                1987    159           88        62
130                        0                1246     33           89        63
131                        0                1102     21           90        64
132                        0                 721    310           91        65
133                        0                 698     33           92        66
134                        0                 679     49            1         1
135                        0                 784     49            2         2
136                        0                 724     65            3         3
137                        0                 851     87            4         4
138                        1                 788     87            5         2
139                        0                1579     16            5        10
140                        0                2002     69           93        67
141                        0                1954    113           94        68
142                        0                1525     22           95        69
143                        0                1512     49           96        70
144                        0                1480     72           97        71
145                        0                1429     49           98        72
146                        0                1397    107           99        73
147                        0                1557     16            6        11
148                        0                1552     29            7        12
149                        0                1407     29          100        74
150                        0                1226     47          101        75
151                        0                 877     18          102        76
152                        0                3207   1560            0        21
153                        0                1937   1560            1        22
154                        0                 707     59          103         5
155                        0                2037     14          104         6
156                        0                 607     33            8        13
157                        1                2353     25          105         7
158                        0                 837     41            6         5
159                        0                1989    122          106         8
160                        0                 715     49            6        14
161                        0                2039     48          107        77
162                        0                 834    222            7        15
163                        0                 951    148          108         9
164                        0                 838     88          109        10
165                        0                 636     13            0         3
166                        0                 587     18          110        78
167                        0                 491     71            9        16
168                        0                 581    266          111        79
169                        0                 372     40          112        80
170                        1                3202   1560          113        11
171                        0                1965     24          114        81
172                        0                 799     49            7         0
173                        1                 766    126            8         1
174                        0                1637     51          115         0
175                        0                1604     61          116         1
176                        0                1240     16            8        17
177                        0                2561    189            9        18
178                        0                1235    134           10        19
179                        1                1590     57          117        12
180                        0                1552     30          118         2
181                        0                1327     19          119         3
182                        0                 606     16           11        20
183                        0                 810     22           12        21
184                        0                1510     79           13        22
185                        0                 574     31            0         1
186                        0                1065     33            1         2
187                        0                1046     59            2         3
188                        0                1006    131            3         4
189                        1                 954     29          120        13
190                        0                 618     21           14        23
191                        1                3376   1173          121         4
192                        0                 759     49            1         4
193                        0                 781     37            2         5
194                        0                 727     87            3         6
195                        0                3275     79           15        24
196                        0                 869     49            9         2
197                        0                1578     15           16        25
198                        1               26839   7616           10        26
199                        0                2103     50          122         5
200                        0                2070     59          123         6
201                        0                2030     49          124         7
202                        0                1998     49          125        14
203                        0                1750     57          126        15
204                        0                1140     13          127        16
205                        1                1137    459          128        17
206                        0                 715     69          129        18
207                        0                1229     63          130         8
208                        0                 836     78           10         3
209                        0                 899     87           11         4
210                        0                 841     49           12         5
211                        0                 905     87           13         6
212                        0                2417     22          131         9
213                        0                2855     19          132        10
214                        1                2847    242          133        11
215                        0                1795     60          134        12
216                        1                 698     45           14         7
217                        0                1732    165          135        13
218                        0                1067     56          136        14
219                        0                2398   1809          137        19
220                        1                7152   7596            4         5
221                        0                 708     49           15         8
222                        1                1987   1531            0         7
