id orig_balance_before amount freq_channel freq_auth
1                 1074    549            0         0
2                  701     37            0         0
3                 1902     25            1         0
4                 1252     25            0         1
5                  902     13            0         1
6                 2088    785            1         2
7                  679     49            1         2
8                 1766     35            2         3
9                  781     37            0         0
10                2112     39            0         1
11                1247    277            2         4
12                 894     49            0         1
13                 799     49            2         0
14                 708     49            3         1
15                 836     78            4         2
16                1459    122            3         5
17                1683    536            4         2
18                 945     85            5         6
19                 727     87            1         2
20                 841     49            5         3
21                1745     85            1         3
22                 899     87            6         4
23                 698     45            7         5
24                2038     29            6         4
25                 724     65            8         3
26                2216    122            3         5
27                 869     49            9         6
28                 788     87           10         3
29                 905     87           11         7
30                2292     26            2         0
31                 784     49           12         4
32                 759     49            2         4
33                 636     13            3         5
34                1776     22            7         6
35                 851     87           13         5
36                 766    126           14         8
37                 645     22            4         7
38                 837     41           15         6
39                4290   3779            0         0
40                1987   1531            0         0
